time,open,high,low,close,Resistance Zone - 1 - High,Resistance Zone - 1 - Low,Support Zone - 1 - High,Support Zone - 1 - Low,Supply Demand - 1 - High,Supply Demand - 1 - Low,Resistance Zone - 2 - High,Resistance Zone - 2 - Low,Support Zone - 2 - High,Support Zone - 2 - Low,Supply Demand - 2 - High,Supply Demand - 2 - Low,Resistance Zone - 3 - High,Resistance Zone - 3 - Low,Support Zone - 3 - High,Support Zone - 3 - Low,Supply Demand - 3 - High,Supply Demand - 3 - Low,Resistance Zone - 4 - High,Resistance Zone - 4 - Low,Support Zone - 4 - High,Support Zone - 4 - Low,Supply Demand - 4 - High,Supply Demand - 4 - Low,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot
2022-01-24,48323,48600,48300,48564,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-01-25,48608,48912,48540,48851,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-01-27,48550,48550,47853,47910,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-01-28,47950,48000,47479,47611,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-01-31,47590,47802,47499,47686,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-02-01,47677,48070,47555,47912,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-02-02,47800,48125,47768,48084,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-02-03,48039,48064,47600,47917,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-02-04,47976,48127,47702,47924,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-02-07,48011,48247,47995,48228,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-02-08,48270,48474,48174,48429,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-02-09,48420,48715,48403,48660,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-02-10,48694,48990,48551,48955,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-02-11,48750,49134,48643,49114,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-02-14,49450,50011,49443,49916,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
2022-02-15,50151,50325,49230,49385,NaN,NaN,NaN,NaN,NaN,NaN,55449,54861,44780,44150,44780,44150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,15,20,25,30,35,40,45,50
